Context,Utterance,Paraphrase
I told you to stay home and study.,Where have you been all day?,May I ask where you have been today?
,All of you.,Everyone present.
All of you.,"""Eat one a piece, okay?""",Would it be alright if each of you had one?
,Enough of that.,Let's move on from that topic.
Enough of that. [SEP] Sensei.,That was very funny.,That was quite amusing.
Enough of that. [SEP] Sensei. [SEP] That was very funny.,You bitch.,I would appreciate it if you refrained from using derogatory language.
Nicaragua.,Nicaragua?,"Excuse me, may I ask about Nicaragua?"
,"""ED, eh? Have they tried Viagra?""","Excuse me, have they considered using medication such as Viagra for ED?"
"""You okay, chief?""",Chief?,"Are you doing alright, sir/madam?"
It's like smoking without inhaling.,So inhale.,Perhaps it would be better to take a deep breath in.
,And what now?,May I ask what the next step is?
,Dad? Where are you going?,"Excuse me, may I ask where you are headed, Father?"
Dad? Where are you going?,Heaven and back.,I am going on a journey to heaven and back.
Dad? Where are you going? [SEP] Heaven and back.,What heaven?,"Excuse me, could you please clarify which heaven you are referring to?"
Dad? Where are you going? [SEP] Heaven and back. [SEP] What heaven? [SEP] The hot spring.,You call that muddy water heaven?,Do you consider that murky water to be a heavenly place?
Set.,Action.,What steps should we take?
,"""Delete, who cares. If we're going to delete every fair use image that ''has'' a sufficient rationale, why not change to German Wikipedia image policy already?""",It may be worth considering a change to the German Wikipedia image policy if we are going to remove fair use images that have a valid rationale. The act of deletion may not be of great importance.
"""This is elegant agency, not a brothel for dogs.""",Where did you get the dough?,May I ask where you obtained the funds?
,He picked me up from boarding school and took me to one of those hippy communes.,He kindly gave me a ride from school and brought me to a community that embraces a more alternative lifestyle.
How do you feel?,Better.,I am feeling improved.
"""Thanks, we have to go now.""",You guys have to leave now?,Do you need to depart at this moment?
,Who committed this rape? Hmm?,May I inquire as to who is responsible for this act of sexual assault?
Who committed this rape? Hmm?,Was it... the creepy uncle?,Could it be possible that the perpetrator of this rape was the uncle who gives off an unsettling vibe?
"""Who committed this rape? Hmm? [SEP] Was it... the creepy uncle? [SEP] The handsome, young Ivy League fraternity brother... who's used to getting what and who he wants?""","""Um, the prisoner just released on parole? That's me.""","Excuse me, I believe I am the individual who was recently released on parole."
,What happened to your leg?,May I ask what occurred to your leg?
,"""Actually, that's again a misromanization. Would you ''please'' stop this insanity?""","I'm sorry, but that is also a misrepresentation. Could you kindly refrain from continuing this behavior?"
I'm sorry. Did I hurt you?,You're so pure.,You have a very kind and genuine nature.
,What's up with them?,May I inquire about their current situation?
It's happening!,"""Wait up, guys!""","""Excuse me, could you please wait for me?"""
,Were you robbed?,Did someone take your belongings without your consent?
"""Were you robbed? [SEP] I knew you were coming, so I put everything into storage.""","""What? My money, too?""","I apologize, but may I inquire if any of your belongings were taken without your consent?"
,Damien.,"Excuse me, may I have your attention, Damien?"
,"""Run away, run away!""",Please move away quickly.
"""Run away, run away!""","""Hey, stop there.""","Excuse me, could you please halt?"
Wow! It's huge! It's so much bigger than the cubicle.,This is a cube!,This appears to be a cubicle.
,"""Drop the weapon, now!""",Please put down the weapon immediately.
"""Drop the weapon, now!""",Don't shoot!,Please refrain from using your weapon.
,"""Kid, come here.""","Excuse me, would you mind coming over here?"
"""Kid, come here.""",Give me one!,May I please have one?
,Is that everyone?,Have all the individuals arrived?
Is that everyone?,All but one.,"Almost everyone is here, except for one person."
,You think he's in love with her?,Do you believe that he has developed romantic feelings for her?
,Blood!,Oh my goodness!
Blood!,Don't jump to conclusions.,Let's not make assumptions too quickly.
,"""Quiet, please keep quiet""",Could you please lower your voice or remain silent?
"""Quiet, please keep quiet""",Go to hell,I kindly request that you refrain from making any noise.
,What a disaster!,"Oh dear, that's quite unfortunate."
What a disaster!,Those sons of bitches!,What a difficult situation!
,Vile.,That is quite unpleasant.
Vile.,Absolutely vile.,Extremely unpleasant.
Ernie. Ernie!,Keep perfectly still. This is it.,Please remain completely still. This is the moment.
,Read this now?,Would you mind taking a look at this at your earliest convenience?
Read this now?,"""Everything, right away!""",Could you please provide me with everything as soon as possible?
,One man in custody!,A male individual has been apprehended.
,You're all so mean.,It seems like there may be some unkind behavior happening.
You're all so mean.,Don't ask me anything anymore.,I kindly request that you refrain from asking me any further questions.
How's the boss feeling today?,You dare to come back?,May I ask if the boss is feeling well today?
,It is very dangerous!,It appears to be quite risky.
Black noodles. [SEP] Black noodles!,Damn black noodles!,"Oh my, these black noodles are quite unexpected."
He will come back.,"""Girl, wait.""","Excuse me, could you please wait?"
,You're going to school.,It seems like you have plans to attend school.
You're going to school.,End of story.,That's settled then.
,Especially considering that it took you ''a lot'' more time to vandalize the page than the two seconds it took us to fix it. What's the point?,"I understand that it may have taken you longer to make changes to the page, but may I ask what the purpose of doing so was?"
,Something like that?,Is it possible that something similar to that could be considered?
"""Joker, how's it coming?""",You can't mess something like this.,It may be challenging to handle something of this nature.
You have to take it back.,Like hell I will.,"I'm sorry, but I cannot comply with that request."
You have to take it back. [SEP] Like hell I will.,That's blood money.,I believe that payment is tainted.
Tara!,I hate you.,I have negative feelings towards you.
,You killed him.,He has passed away.
You killed him.,Alice?,"Excuse me, may I ask about Alice?"
,Don't stare.,Please refrain from prolonged eye contact.
Don't stare.,sleep.,Please close your eyes and rest.
Don't stare. [SEP] sleep.,Shoot me.,I kindly request that you refrain from staring as I am trying to rest.
,Mummy!,"Excuse me, mother?"
"""Hey, what about a picture?""",Alright. Hold still.,"Sure, would you mind holding still for a moment while I take a picture?"
it's okay. Slow down.,"""Okay, come on. Slow down.""","It's alright, could you please take it a bit slower?"
,You mustn't die.,It would be best if you didn't pass away.
,I'll cut you into pieces if you don't pay!,"It would be greatly appreciated if you could make the payment, otherwise there may be consequences."
,You chose sides?,Did you align yourself with a particular group?
You chose sides?,You chose wrong.,It seems like you may have made a different decision than I would have.
,What are you laughing at?,May I ask what is causing you to laugh?
What are you laughing at?,And the kid?,May I ask what is causing you to laugh?
What are you laughing at? [SEP] And the kid? [SEP] The kid... we take him with us.,Know anyone that would want to have a dead kid on their conscience?,Do you happen to know anyone who would be willing to take responsibility for a deceased child?
Nectar?,"""If you haven't had, then you haven't lived, buddy.""","You may want to try nectar, it's quite enjoyable."
,"""Okay, where can it go then? The list of episodes?""","Excuse me, may I ask where the list of episodes can be placed?"
Did you hear it before Young-eon disappeared?,The voice?,Have you had the opportunity to listen to it prior to Young-eon's disappearance?
,Where's the chemist?,"Excuse me, could you kindly inform me of the location of the pharmacy?"
Where's the chemist?,Where's Lawrence?,"Excuse me, do you happen to know the whereabouts of Lawrence?"
,Go to the front. Let's go! Move!,Please proceed to the front. Shall we proceed? Kindly make your way.
Split apart for now. I'll call you later.,"""What are you waiting for, idiots?""","Excuse me, may I ask what is causing the delay?"
,"""Juliet, why are you still so fair?""","Juliet, may I ask why you still possess such a lovely complexion?"
"""Juliet, why are you still so fair?""",Death that has sucked the honey of your breath has had no power as yet to spoil your beauty.,"Despite the challenges you may have faced, your beauty remains untouched by any negative effects."
,Stand there.,Please remain in that position.
Stand there.,"""There, like that.""",Please stand in that position.
,This creature and its tunnels survived mass extinctions that killed... almost all other life on earth.,The tunnels of this remarkable creature managed to endure through catastrophic events that resulted in the loss of nearly all other forms of life on our planet.
Your dad says you're a painter.,When did he say that?,May I ask when he mentioned that?
"""Whatever this is, we can fix it!""",You coward! You bribed thisjudge!,I believe there may have been some unethical behavior involved in the judge's decision.
,You didn't listen?,Did you happen to miss what I said earlier?
,Your daddy...,The father figure in your life...
Your daddy...,"""Everyone, beat it!""","Excuse me, could you please leave?"
Thought you might have a sweet tooth.,That's very kind of you.,Thank you for considering my taste preferences.
"""Come on, sir.""","""Come, my lord.""","""Please join me, your grace."""
Florence?,Darling?,My dear?
,Shouldn't you answer that?,"Would it be possible for you to answer that, please?"
Shouldn't you answer that?,Doesn't matter right now.,It may not be necessary to address that at the moment.
,What are you doing? This is outrageous.,May I ask what you are currently engaged in? This seems quite surprising to me.
We'll leave the rest.,Second rule. Watch out for your own back.,The second guideline is to be mindful of your own safety.
,What is your mission?,May I ask what your mission is?
What is your mission?,"""Whatever it is, the fact that you're here implies that you've failed.""","I'm curious about your objective, if you don't mind sharing."
,"""Okay, you win.""",I concede to your victory.
,What's your title?,May I ask what your professional designation is?
,Bubbles?,May I ask if you would like some bubbles?
,Ho Wing. Intercept them downstairs.,"Excuse me, Ho Wing. Could you please intercept them downstairs?"
Ho Wing. Intercept them downstairs.,"""Go, Yes""","Certainly, I will proceed as instructed."
,Hands off.,Please refrain from touching that.
,What did she ever do to you?,May I ask what actions she may have taken that caused any negative feelings towards her?
,You won't go to jail.,It is unlikely that you will face imprisonment.
,What's the problem?,May I inquire about the issue you are facing?
What's the problem? [SEP] What's wrong?,Floyd?,"Excuse me, may I ask if there is an issue or concern?"
,That one.,Could you please pass me that one?
,"""You're a son of a bitch, Angus.""","I'm sorry, Angus, but I strongly disagree with your actions."
I would have never imagined that such a beautiful horse could exist.,Was she a goddess who came down to Earth?,I am amazed by the existence of such a stunning horse.
I would have never imagined that such a beautiful horse could exist. [SEP] Was she a goddess who came down to Earth?,Why did she take my bag?,May I inquire as to why my bag is no longer in my possession?
"""Ready or not, here I come.""",Where are my boys?,May I inquire about the whereabouts of my sons?
,Bambi!,"Excuse me, may I have your attention please?"
"""I said swimsuit, we're not scuba diving""","""Can't even see your toes, do you have to be so conservative?""","I apologize, but I noticed that your swimsuit covers a lot of your body. Is there a reason for that?"
,"""Okay, then.""","Sure, that's fine."
,Cover him!,Please provide some coverage for him.
Cover him!,Come on now.,"Please, could you cover him?"
That's the best you can do?,Push!,Could you please give it a little more effort?
Hi. How you doing?,This is Josh.,My name is Josh.
,You'll be hearing from me.,I will be in touch with you soon.
,What the hell is wrong with you?,What seems to be the issue with you?
What the hell is wrong with you?,Answer the door.,Could you please answer the door?
Lupus!,What? What's happened?,"I'm sorry, may I ask what has occurred?"
,Really... are you're still sleeping?,"Excuse me, may I ask if you are still resting?"
Really... are you're still sleeping?,Don't you have any opinions to anything that I've said?,Do you have any thoughts on what I've mentioned?
Really... are you're still sleeping? [SEP] Don't you have any opinions to anything that I've said?,Says who I haven't suggest? You're not giving me the opportunities.,I apologize if it seems that I haven't contributed any suggestions. Perhaps I haven't had the chance to share my thoughts.
,Superman's down there.,I believe that Superman is located in that area.
,"""That you would consider a section that he """"praised"""" a murderer (referenced to a website dedicated to smear campaigns, no less) as """"NPOV"""" is astonishing. Doesn't <url> apply here or do you expect other users to turn the attack into something NPOV?""","I find it surprising that you would label a section that he commended a murderer (on a website known for spreading negative propaganda) as ""NPOV"". Is it possible that the guidelines outlined in <url> are not applicable in this situation? Or do you anticipate other users to transform the attack into a neutral point of view?"
,What's the meaning of this?,Could you kindly explain the significance of this?
What's the meaning of this?,Where's the baby?,May I ask where the baby is located?
,"""Please, just leave it.""",Could you kindly refrain from further discussing or addressing that matter?
Ai-chan. [SEP] Saotome-kun.,Why are you going this far?,May I ask why you are going to such lengths?
Ai-chan. [SEP] Saotome-kun. [SEP] Why are you going this far?,"""If you stay in that cesspool, you'll be in danger.""",It may not be safe for you to remain in that environment.
It's not bad.,"""Hey, give me that.""","Excuse me, may I please have that?"
,Move aside.,"Excuse me, could you please make some space?"
,Christ!,Oh my goodness!
Christ!,Son of a bitch!,Oh my goodness!
Now we'll be lucky!,"""Oh, you're so drunk!""",It seems like you may have had a bit too much to drink.
,Where's the TV?,May I ask where the television is located?
"""We should hurry up, sir. It's clearing 'up. [SEP] Do you have a piece of chalk, Netley?""","""Chalk, sir?""","Excuse me, sir, would you happen to have a piece of chalk?"
Is it really the right place?,Is this the contest for the most snobbish orgy or what?,"Excuse me, may I confirm if this is the appropriate location?"
I thought you'd gone to work.,With a face like this?,May I ask if you have already left for work?
,Better than that!,That is even more impressive!
Better than that!,More than that!,Could we possibly consider going beyond that?
Sudo has the tape. [SEP] I can't find him. That's why I'm here.,Where is Sudo?,"Excuse me, do you happen to know the whereabouts of Sudo? I am having trouble locating him."
Royal Dog.,What? Ninja again?,"Oh, is it Ninja once more?"
,Again!,Could you please repeat that?
Again!,It's not fair!,This situation seems unjust.
Again! [SEP] It's not fair!,Again!,"Once more, please."
Again! [SEP] It's not fair! [SEP] Again!,It's not fair!,This situation seems unjust.
,Code.,Could you please share the code with me?
,You're so stupid.,I believe there may be room for improvement in your decision-making process.
You're so stupid.,I hate you.,I have strong negative feelings towards you.
"""There, there! Is that it?""","""Top left, second screen from the top! Look, look, the infirmary.""","Excuse me, would you mind taking a look at the second screen from the top on the top left? The infirmary seems to be located there."
"""There, there! Is that it? [SEP] Top left, second screen from the top! Look, look, the infirmary.""",Right. Go back.,"Okay, let's return to the previous screen."
Take a look.,Move it!,"Excuse me, could you please move that?"
,"""Eunok, what's wrong with you? Have you been drinking?""","Excuse me, Eunok, is everything alright? Have you consumed any alcohol?"
"""Eunok, what's wrong with you? Have you been drinking?""",Eunok!,"Excuse me, Eunok, may I ask if everything is alright?"
"""Marti, please don't make me worry about you, okay?""","""No cowboy shit, just stick to procedure.""",Let's make sure to follow the proper protocol without any unnecessary risks.
,Stop! You're killing him! You want to kill your own father?,Please refrain from continuing your actions as they may cause harm to your father.
Stop! You're killing him! You want to kill your own father?,And cut!,Stop the action!
,You removed posts by me as well. Do you have any explanation?,May I kindly inquire if there is a reason why my posts were also taken down?
,Where's your boss?,"May I know the whereabouts of your supervisor, please?"
,Drink it.,Please have a sip of it.
"""Good morning, Squidward. I'll have the usual. [SEP] With cheese.""",We're out of Krabby Patties right now!,"Unfortunately, at the moment we do not have any Krabby Patties available."
,Where does this road go?,"Excuse me, could you kindly inform me of the destination of this road?"
"""Come on, move it!""","""Lord, give me strength.""","""Please, could you move a little faster?"""
We better hurry.,I hate it when that happens.,I find it unpleasant when such situations occur.
,You're not going to say anything?,Would you like to share your thoughts on the matter?
,You know what I'm saying?,Do you understand what I mean?
,come here.,Could you please come over here?
come here. [SEP] what are you doing up?,nothing.,I am not currently engaged in any activity.
,"""Please, don't shed more blood.""",I kindly request that you refrain from causing any further harm.
"""Please, don't shed more blood.""",Please... STOP FIGHTING!,Could we please put an end to the conflict?
Door on the left.,Clear.,It appears that the door on the left is unobstructed.
,Why call yourself Needle?,May I ask the reason behind choosing the name Needle for yourself?
"""Why call yourself Needle? [SEP] Countess Dobrinskaya, from a noble family.""",Eh? Taking such pleasure in killing people?,"I beg your pardon, but may I inquire as to the reason behind your chosen moniker of Needle?"
May I ask where is Chen Shi Fu? [SEP] You are here to learn boxing?,Outsider can't learn Chen Jia boxing. please leave.,"I'm sorry, but Chen Jia boxing is only available to those who are already part of our community. Would you mind leaving?"
May I ask where is Chen Shi Fu? [SEP] You are here to learn boxing? [SEP] Outsider can't learn Chen Jia boxing. please leave.,"""Uncle, where can I learn Chen Jia boxing?""","Excuse me, sir, would you happen to know where I could possibly learn Chen Jia boxing?"
,Sink it?,Would you like me to dispose of it in the sink?
Sink it?,Steal it.,Could we possibly dispose of it?
See that one right there?,That's what I was talking about.,That is precisely the subject I had in mind.
Are you still studying?,Multiplication?,Are you currently engaged in the process of learning multiplication?
"""I think the young lady and this gentleman are waiting for your apologies, Pistol!""","""You'd better kneel on your dirty knees and call yourself a scabby coyote, you stinky old skunk!""","It would be advisable to apologize to the young lady and gentleman, Pistol."
"""Hi, dad. Did you find her?""","""Yes, I have, and she's not even in any trouble.""","Yes, I was able to locate her and fortunately, she is not facing any difficulties."
"""Hi, dad. Did you find her? [SEP] Yes, I have, and she's not even in any trouble.""","""Yet. You haven't let her out of your sight, have you?""","""Have you been keeping a close eye on her to ensure her safety?"""
,"""Where are we going, Daddy?""","May I ask, Father, where our destination is?"
,What's this mess you left here?,Could you please explain the situation with the clutter that is present here?
What's this mess you left here?,Bubba?,"Excuse me, may I ask about the situation here?"
"""Please, Olga, you've always helped me.""","""No, there's no point.""","I appreciate your request, but I don't think it would be beneficial."
,But it... it is Laura Palmer.,"However, it appears to be Laura Palmer."
,Sis?,"Excuse me, may I ask for your attention, sister?"
Sis?,"""Bao, allow me.""","""May I assist you, Bao?"""
,Why did you lie?,May I ask for the reason behind the misinformation provided?
Why did you lie?,Who was it?,May I ask who you are referring to?
Anything you want to say? [SEP] Do you think you're rehabilitated?,Do your neighbors not have the right to know?,Is it possible that your neighbors would benefit from being informed?
,"""Go on, undress yourself.""",Please feel free to remove your clothing.
"""Go on, undress yourself.""",Don't pay attention to what I'm doing.,Please don't mind me.
Horse.,"""What have you gotten me into, horse?""","Horse, could you please explain the situation we are in?"
,Try to sleep.,It may be beneficial for you to rest and close your eyes.
,Get them in line!,Please ensure that they are properly aligned.
Get them in line!,Get the men back into lines!,Could we please arrange for the men to form lines?
Get them in line! [SEP] Get the men back into lines!,"""Front line, push!""",Please move forward to the front line.
"""No, Mr.Lu is coming back""",So what? It won't bug me. Just do it!,"I understand, but it would be appreciated if you could proceed with the task at hand."
"""No, Mr.Lu is coming back [SEP] So what? It won't bug me. Just do it!""","""No, let me go""","Excuse me, I would prefer to leave."
,He doesn't look like himself.,He appears to be different from his usual self.
,AND WHAT ABOUT THE SEX?,May I inquire about the topic of sexual activity?
,"""...and, really, BeeGees? And not Peter Frampton?""",May I suggest Peter Frampton instead of BeeGees?
,"""Come on, all of you!""","""Please join me, everyone."""
"""Come on, all of you!""",Push!,Let's all work together and give it our best effort.
,Look who's here!,"Oh, it's great to see you!"
Ahmed.,Ahmed!,"Excuse me, may I have your attention, Ahmed?"
,Got him?,Have you apprehended him?
Got him? [SEP] We got him. Three coming out.,"""Michaels, send C-BIST over.""","""Michaels, could you please send C-BIST over?"""
Are we ready for tonight's opening game?,Are the Brazilians ready to kick the Scots' asses?,Are the Brazilian team prepared for their match against the Scottish team tonight?
He's not supposed to miss those. [SEP] Third one this morning.,What the devil's wrong with him?,Is there something troubling him?
It won't be long now.,Albert!,"Excuse me, Albert."
Sweet Lord.,I killed a man.,I regret to inform you that I have caused harm to another individual.
Here we are.,So what do we do now?,May I ask what our next course of action should be?
I'll never use you.,I will never abuse your trust.,I will always respect your trust and never misuse it.
This Abdullah doesn't live in the area you told us.,Are you playing with us?,"I'm sorry, but I'm not sure I understand. Could you clarify if Abdullah resides in the location you mentioned earlier?"
This Abdullah doesn't live in the area you told us. [SEP] Are you playing with us? [SEP] He lives in the area he told you.,He lives there?,Does he reside in that location?
This Abdullah doesn't live in the area you told us. [SEP] Are you playing with us? [SEP] He lives in the area he told you. [SEP] He lives there?,You're going to take us.,Would you be willing to guide us to his residence?
"""Well, it's nice to see you again.""","""Yeah, you really don't have to say that to me.""","""I appreciate your kind words, it's always a pleasure to see you too."""
,Jae-young!,Hello Jae-young!
,Vodka?,Would you like some vodka?
,We have to get him out of here.,It would be best if we could relocate him from this place.
"""How's that feel, Bobby?""",You ain't laughing now.,It seems that you are not finding the situation humorous anymore.
,The Emperor's orders!,The commands of the Emperor.
The Emperor's orders!,Long live his majesty!,May his majesty's reign be prosperous and enduring.
,This is giving me a headache.,I'm experiencing some discomfort in my head.
Anyone got a light?,Who has a light?,"Excuse me, may I ask if anyone happens to have a lighter?"
Miss?,You dropped these.,"Excuse me, it appears that you may have accidentally dropped these items."
,"""Hey, stop there!""","Excuse me, could you please pause for a moment?"
You hesitated before you gave the safe signal.,Is someone following you?,May I ask if you noticed anyone behind you before giving the safe signal?
If there's anything I can do...,Haven't you done enough already?,"I appreciate all that you have done, is there anything else I can assist you with?"
,You shouldn't have done that...,It may have been better if that action had not been taken.
Do you remember that trick?,What trick?,"I'm sorry, could you remind me which trick you are referring to?"
,Why did you send for us?,May I ask the reason for requesting our presence?
,"""Quo vadis, Domine?""","Where are you going, my Lord?"
"""Quo vadis, Domine?""","""You're abandoning my people, so I am going to Rome, to be crucified once again.""","I understand that you may have other obligations, but I feel that my people may be left without guidance. Therefore, I have decided to make a journey to Rome where I may face challenges, but ultimately hope to serve my purpose."
"""Don't be scared, those crazy bastards are gone. [SEP] Sicko.""",How dare you call me sicko!,"I would appreciate it if you refrained from using derogatory language towards me, as it is not respectful or appropriate."
"""Don't be scared, those crazy bastards are gone. [SEP] Sicko. [SEP] How dare you call me sicko!""",How dare you call me nuts...,"I must object to being referred to as ""nuts""..."
,Don't touch him!,Please refrain from making physical contact with him.
Don't touch him!,Let me look.,May I have a closer look?
,"""Stop, I'm pregnant!""","Please pause, I am currently expecting a child."
"""If I could, I would, but we're leaving on Monday. [SEP] Your Mom will go. [SEP] She doesn't know.""","""Well, tell her.""",Perhaps it would be helpful to inform her.
"""So how was it, Rin?""",Say something,"Could you please share your thoughts on the matter, Rin?"
You can close that drawer.,"""You have made the wrong diagnosis, Doctor!""","Excuse me, Doctor, but I believe there may be a misunderstanding."
"""Well, I sure do appreciate your hospitality, giving me a ride and all.""","""If you make him any promises, you best follow through, motherfucker!""","It would be best to fulfill any commitments you make, sir."
,"""Okay, now tell me everything.""",Could you please share all the details with me?
"""Okay, now tell me everything.""",What exactly is this discovery?,Could you please elaborate on the details of this discovery?
,You can't sleep.,It may be difficult for you to fall asleep.
You can't sleep.,It's not my fault.,I understand that you are having difficulty sleeping.
,"""You left me no choice, Juliet.""","Juliet, I had to make a decision because of the circumstances."
,Not even about the car parked outside your house the night of Hannigan's bombing?,May I ask if you have any information regarding the vehicle that was parked outside your residence on the night of Hannigan's bombing?
I took my eye off the road for one second and I slid into a guardrail.,Been drinking?,Have you consumed any alcohol?
Beast.,Ninja.,Warrior.
,Who wants to hurt you?,May I ask who might have intentions to cause harm to you?
,"""If the gentlemen don't like the music, it can be stopped now!""","If the gentlemen are not enjoying the music, we can cease it at this moment."
"""If the gentlemen don't like the music, it can be stopped now!""","""Why not, let the lady play...""","Perhaps we could allow the lady to continue playing, if that would be agreeable to everyone."
,Drop the gun.,Please put down the firearm.
Drop the gun.,Drop it!,Please release the firearm.
,"""Let go, you fuck!""",Please release your grip.
,You kidding me?,Are you joking with me?
You kidding me?,It looks like a war zone.,It appears to be in a state of disarray.
,You haven't paid for all I've done for you.,It seems that there may be some outstanding payments for the services I have provided for you.
You haven't paid for all I've done for you.,"""A hundred something, don't you dare to mess around!""",I kindly request that you fulfill your obligation to compensate me for the services I have provided.
I have come to love... that little tap of the fingernail against the syringe.,Tap.,I have grown fond of the gentle tapping sound made by the fingernail against the syringe.
,You're not easy to find.,It was a bit challenging to locate you.
I think about her all the time.,You're a pain in the ass.,I find it difficult to deal with you at times.
,Chief!,"Excuse me, sir/ma'am?"
,Had a fight?,Did you have a disagreement or argument?
There really is a very good explanation for all this. [SEP] I don't want to hear it. [SEP] Not just a little bit curious?,Get away from the door.,Could you please step away from the door?
There really is a very good explanation for all this. [SEP] I don't want to hear it. [SEP] Not just a little bit curious? [SEP] Get away from the door.,"""I can't let you go, Freddie.""","I'm afraid I cannot allow you to leave, Freddie."
"""Our stools. [SEP] Um, do you remember how they used to spin?""",This one is kind of gunked up.,This particular stool seems to be a bit dirty or in need of cleaning.
,Let go of him.,Please release him.
,You shaved.,It appears that you have recently groomed yourself.
,Tell me who killed Black Crow.,Could you please provide me with information on the individual responsible for the death of Black Crow?
Tell me who killed Black Crow.,Which among us is your guy?,Can you please inform me of the identity of the person responsible for Black Crow's death?
,Move and we shoot!,Please do not move or we will be forced to take action.
Move and we shoot!,Clear!,It appears that there are no obstacles in our way.
,"""Why do you cough so much, major?""","May I ask why you seem to be coughing frequently, major?"
"""Why do you cough so much, major? [SEP] It's because of carbon. [SEP] Still writing your novel? [SEP] Hi, sargeant!""","""And you, are you still shooting?""",May I ask if you are still practicing your shooting skills?
,This will wake them up.,This should grab their attention.
This will wake them up.,Masks on!,"Let's put our masks on, please."
Tie him up.,Hold it there!,"Excuse me, could you please wait a moment?"
,"""Issa, come here!""","Issa, could you please come over here?"
"""Issa, come here! [SEP] Issa, come back. Come here. [SEP] Jeyran! [SEP] Issa, come back. Come here.""","""Issa, for your mom's sake, come back here.""","Issa, it would be greatly appreciated if you could return to this location for the sake of your mother."
,Please come again.,We would be delighted if you could visit us again.
,But you're too smart to make him mad.,I believe you have the intelligence to avoid upsetting him.
But you're too smart to make him mad.,So this here's where I was supposed to do all the killing?,Is this the place where I was expected to carry out all the violent actions?
,This shit never gets easy.,This task always presents a challenge.
What a nut!,That was my husband.,"Oh, that person is my spouse."
What if it wasn't Drake?,Then we're fucked.,"In that scenario, we may encounter some difficulties."
"""Your mother loved you so much, Isolde.""","""Why did she die, Bragnae? Why?""","Bragnae, may I ask why your mother passed away?"
"""Your mother loved you so much, Isolde. [SEP] Why did she die, Bragnae? Why? [SEP] It was an ill vapor that took her... a fever.""",No. It was her heart.,"I respectfully disagree, it was her heart that caused her passing."
"""I'm not a good person, and I don't think nice thoughts.""","""Well, we all just a little screwed up right now.""",We all have our flaws and struggles at the moment.
We have to be on the same team.,What? I was backing you up.,"I apologize, but I may have misunderstood the situation. Can you please clarify your perspective?"
,"""What's that, up there?""","Excuse me, may I ask what is located above us?"
,Where's your mom?,May I ask about the whereabouts of your mother?
Where's your mom?,She's sleeping.,My mother is currently resting.
You'll come around.,Cannonball.,I believe you will eventually see things my way.
,Go after him.,Could you please try to catch up with him?
Go after him. [SEP] Like that.,Stop now!,Please refrain from continuing.
I want to be alone.,All alone.,I would prefer to have some time to myself.
,He was different.,He had unique qualities.
He was different.,Special.,He had unique qualities.
,You know what? Just think I'm invisible...,"Excuse me, but perhaps it would be best if you were to imagine that I am not present."
You know what? Just think I'm invisible...,"""Don't send the ball to me, ok?""","""Would it be alright if I don't receive the ball?"""
,"""Embarrassing, right?""",Isn't it a bit awkward?
I think your bacon's ready. [SEP] I forgot.,What's on the TV?,May I ask what is currently being shown on the television?
,It's you who told her to come?,Did you happen to suggest for her to come?
It's you who told her to come?,It's none of your business.,"I'm sorry, but I don't feel comfortable discussing that with you."
,They have everything.,They seem to possess a wide range of items.
"""The summer grass, traces of a vanished warrior's dream.""",Cut the crap!,Please refrain from unnecessary talk.
"""The summer grass, traces of a vanished warrior's dream. [SEP] Cut the crap!""",Reciting a poem on your way to Hell?,"Excuse me, but may I ask if you are reciting a poem?"
"""The summer grass, traces of a vanished warrior's dream. [SEP] Cut the crap! [SEP] Reciting a poem on your way to Hell?""",Go recite that crap to my dead cop friends after you die.,I would appreciate it if you could refrain from reciting that poem to my deceased law enforcement acquaintances once you have passed away.
Someone's coming.,"""Okay, come on.""",Please feel free to come in.
,That hurt!,I am experiencing some discomfort.
That hurt!,Why'd you come back?,May I ask the reason for your return?
,Give me back my wife!,May I please have my wife returned to me?
"""Did they say why, Willard?""",Why they wanted to terminate my command?,"May I ask for the reason behind the decision to end my command, please?"
"""At last, veterinary uniform, digestants for dogs...""","""You are not going to do surgery, I suppose?""",May I ask if you have plans to perform any surgical procedures?
,"""Stupid ass, why didn't you kill all those bastards?""",Why didn't you eliminate all of them?
"""Stupid ass, why didn't you kill all those bastards? [SEP] If you can't do it, let me do it for you.""",Let me do justice to the world.,May I have the opportunity to bring justice to the world?
,Poor fatherless child.,The child who unfortunately does not have a father.
,I believe it's to your fucking right.,I think it may be located to your right.
I believe it's to your fucking right.,"""Hey, we ain't done fucking dancing!""","Excuse me, it seems that we have not finished dancing yet."
,Why did we stop?,May I ask why we have paused?
,Who's that girl?,May I know the name of the young lady over there?
Who's that girl?,His wife!,That would be his spouse.
You're in for a big surprise when you get this one in the saddle.,Stupid cowboy!,You may be surprised by the outcome when you attempt to ride this one.
,Why did you kill him?,May I ask what led to his passing?
Why did you kill him?,Why did you have to shoot him?,May I ask what led you to take his life?
,Hector.,"Excuse me, may I have your attention, Hector?"
Hector.,Come?,Would you like to come?
Brandon!,"""Where you at, man?""","Excuse me, may I know your current location?"
,"""Well, I bet you got that from stalking me. Are you making a template I can use?""",I assume you obtained that information through observation. Would you be willing to share a template that I could utilize?
,Throw him out in the rain.,Kindly ask him to leave and avoid exposing him to the rain.
